day,subscribersGained,subscribersLost,views
2023-06-10,2,0,265
2023-06-09,2,0,278
2023-06-08,6,0,361
2023-06-07,1,1,346
2023-06-06,0,0,410
2023-06-05,3,0,459
2023-06-04,6,0,375
2023-06-03,3,0,255
2023-06-02,4,0,330
2023-06-01,2,1,393
2023-05-31,6,0,389
2023-05-30,4,0,366
2023-05-29,1,0,377
2023-05-28,3,0,290
2023-05-27,5,0,292
2023-05-26,6,0,313
2023-05-25,2,0,420
2023-05-24,1,1,394
2023-05-23,7,0,414
2023-05-22,5,0,433
2023-05-21,1,0,365
2023-05-20,5,1,328
2023-05-19,4,0,358
2023-05-18,3,1,408
2023-05-17,4,0,394
2023-05-16,5,1,476
2023-05-15,1,0,398
2023-05-14,4,0,302
2023-05-13,1,0,256
2023-05-12,2,0,286
2023-05-11,1,1,470
2023-05-10,3,0,416
2023-05-09,1,0,415
2023-05-08,4,0,378
2023-05-07,4,0,337
2023-05-06,0,0,287
2023-05-05,0,0,345
2023-05-04,2,0,379
2023-05-03,4,0,371
2023-05-02,5,0,417
2023-05-01,3,0,397
2023-04-30,5,1,331
2023-04-29,2,0,245
2023-04-28,2,0,267
2023-04-27,5,1,392
2023-04-26,2,2,338
2023-04-25,3,0,381
2023-04-24,3,1,316
2023-04-23,4,0,316
2023-04-22,3,0,232
2023-04-21,0,0,203
2023-04-20,2,0,332
2023-04-19,3,0,396
2023-04-18,2,1,376
2023-04-17,7,0,375
2023-04-16,0,0,269
2023-04-15,8,1,264
2023-04-14,4,1,304
2023-04-13,1,1,339
2023-04-12,2,0,407
2023-04-11,4,0,406
2023-04-10,4,0,365
2023-04-09,2,0,318
2023-04-08,0,0,290
2023-04-07,3,0,320
2023-04-06,2,1,332
2023-04-05,3,1,389
2023-04-04,1,0,371
2023-04-03,4,0,417
2023-04-02,4,0,353
2023-04-01,0,1,256
2023-03-31,1,1,285
2023-03-30,5,1,322
2023-03-29,3,0,360
2023-03-28,3,1,409
2023-03-27,4,0,384
2023-03-26,3,0,300
2023-03-25,2,1,325
2023-03-24,3,0,300
2023-03-23,5,0,412
2023-03-22,4,0,459
2023-03-21,2,0,482
2023-03-20,3,0,406
2023-03-19,2,0,346
2023-03-18,3,0,280
2023-03-17,2,1,306
2023-03-16,5,0,369
2023-03-15,4,0,423
2023-03-14,2,1,425
2023-03-13,2,0,409
2023-03-12,4,0,336
2023-03-11,0,0,318
2023-03-10,3,0,328
2023-03-09,2,0,432
2023-03-08,1,0,349
2023-03-07,0,0,348
2023-03-06,1,1,387
2023-03-05,6,1,392
2023-03-04,4,0,296
2023-03-03,2,0,304
2023-03-02,6,1,392
2023-03-01,4,0,456
2023-02-28,10,0,447
2023-02-27,5,1,384
2023-02-26,7,0,425
2023-02-25,1,0,299
2023-02-24,2,0,358
2023-02-23,2,0,363
2023-02-22,3,0,408
2023-02-21,8,0,460
2023-02-20,2,0,405
2023-02-19,3,0,337
2023-02-18,4,1,290
2023-02-17,2,1,321
2023-02-16,4,1,354
2023-02-15,4,0,346
2023-02-14,6,1,330
2023-02-13,3,0,351
2023-02-12,4,0,280
2023-02-11,3,1,271
2023-02-10,5,0,308
2023-02-09,1,2,346
2023-02-08,4,1,350
2023-02-07,1,1,382
2023-02-06,5,0,380
2023-02-05,4,0,300
2023-02-04,5,0,281
2023-02-03,1,0,306
2023-02-02,7,0,342
2023-02-01,5,0,339
2023-01-31,4,0,369
2023-01-30,0,0,346
2023-01-29,2,0,276
2023-01-28,5,2,251
2023-01-27,2,0,253
2023-01-26,3,0,283
2023-01-25,12,2,463
2023-01-24,6,0,384
2023-01-23,2,1,344
2023-01-22,4,2,289
2023-01-21,5,0,237
2023-01-20,2,1,290
2023-01-19,5,0,290
2023-01-18,2,0,341
2023-01-17,3,1,340
2023-01-16,8,0,304
2023-01-15,2,0,192
2023-01-14,3,1,195
2023-01-13,2,0,223
2023-01-12,5,0,318
2023-01-11,1,1,285
2023-01-10,2,0,292
2023-01-09,1,0,299
2023-01-08,6,1,227
2023-01-07,3,1,190
2023-01-06,3,0,216
2023-01-05,1,0,243
2023-01-04,2,0,259
2023-01-03,3,0,274
2023-01-02,2,1,236
2023-01-01,3,1,213
2022-12-31,1,0,123
2022-12-30,3,0,143
2022-12-29,6,0,185
2022-12-28,2,0,222
2022-12-27,1,0,211
2022-12-26,2,2,171
2022-12-25,3,0,147
2022-12-24,4,0,172
2022-12-23,1,0,192
2022-12-22,0,0,205
2022-12-21,1,0,200
2022-12-20,3,0,262
2022-12-19,2,0,288
2022-12-18,0,0,182
2022-12-17,2,0,184
2022-12-16,1,0,248
2022-12-15,1,0,262
2022-12-14,3,0,312
2022-12-13,1,0,303
